seqname	start	end	strand	ENSID	gene_id	gene_name	hgnc_id	havana_gene
chr1	65419	71585	+	ENSG00000186092.7	ENSG00000186092.7	OR4F5	HGNC:14825	OTTHUMG00000001094.4
chr1	450740	451678	-	ENSG00000284733.2	ENSG00000284733.2	OR4F29	HGNC:31275	OTTHUMG00000002860.3
chr1	685716	686654	-	ENSG00000284662.2	ENSG00000284662.2	OR4F16	HGNC:15079	OTTHUMG00000002581.3
chr1	923923	944575	+	ENSG00000187634.13	ENSG00000187634.13	SAMD11	HGNC:28706	OTTHUMG00000040719.11
chr1	944203	959309	-	ENSG00000188976.11	ENSG00000188976.11	NOC2L	HGNC:24517	OTTHUMG00000040720.2
chr1	960584	965719	+	ENSG00000187961.15	ENSG00000187961.15	KLHL17	HGNC:24023	OTTHUMG00000040721.8
chr1	966482	975865	+	ENSG00000187583.11	ENSG00000187583.11	PLEKHN1	HGNC:25284	OTTHUMG00000040756.5
chr1	975198	982117	-	ENSG00000187642.10	ENSG00000187642.10	PERM1	HGNC:28208	OTTHUMG00000040757.3
chr1	998962	1000172	-	ENSG00000188290.11	ENSG00000188290.11	HES4	HGNC:24149	OTTHUMG00000040758.2
chr1	1001138	1014540	+	ENSG00000187608.10	ENSG00000187608.10	ISG15	HGNC:4053	OTTHUMG00000040777.4
chr1	1020120	1056119	+	ENSG00000188157.16	ENSG00000188157.16	AGRN	HGNC:329	OTTHUMG00000040778.7
chr1	1070967	1074306	-	ENSG00000237330.3	ENSG00000237330.3	RNF223	HGNC:40020	OTTHUMG00000185582.2
chr1	1081818	1116361	-	ENSG00000131591.18	ENSG00000131591.18	C1orf159	HGNC:26062	OTTHUMG00000000745.9
chr1	1173880	1197936	+	ENSG00000162571.14	ENSG00000162571.14	TTLL10	HGNC:26693	OTTHUMG00000000851.6
chr1	1203508	1206592	-	ENSG00000186891.14	ENSG00000186891.14	TNFRSF18	HGNC:11914	OTTHUMG00000001414.5
chr1	1211326	1214153	-	ENSG00000186827.12	ENSG00000186827.12	TNFRSF4	HGNC:11918	OTTHUMG00000001415.5
chr1	1216931	1232031	-	ENSG00000078808.20	ENSG00000078808.20	SDF4	HGNC:24188	OTTHUMG00000001812.7
chr1	1232237	1235041	+	ENSG00000176022.7	ENSG00000176022.7	B3GALT6	HGNC:17978	OTTHUMG00000001813.3
chr1	1242446	1246722	-	ENSG00000184163.3	ENSG00000184163.3	C1QTNF12	HGNC:32308	OTTHUMG00000001412.6
chr1	1253909	1273864	-	ENSG00000160087.21	ENSG00000160087.21	UBE2J2	HGNC:19268	OTTHUMG00000001911.9
chr1	1280436	1292029	+	ENSG00000162572.21	ENSG00000162572.21	SCNN1D	HGNC:10601	OTTHUMG00000002081.8
chr1	1292390	1309609	-	ENSG00000131584.19	ENSG00000131584.19	ACAP3	HGNC:16754	OTTHUMG00000002235.5
chr1	1308597	1311677	+	ENSG00000169972.13	ENSG00000169972.13	PUSL1	HGNC:26914	OTTHUMG00000003361.4
chr1	1311585	1324687	-	ENSG00000127054.22	ENSG00000127054.22	INTS11	HGNC:26052	OTTHUMG00000003330.13
chr1	1324756	1328896	+	ENSG00000224051.7	ENSG00000224051.7	CPTP	HGNC:28116	OTTHUMG00000003171.4
chr1	1331280	1335314	+	ENSG00000169962.5	ENSG00000169962.5	TAS1R3	HGNC:15661	OTTHUMG00000003071.2
chr1	1335276	1349418	-	ENSG00000107404.21	ENSG00000107404.21	DVL1	HGNC:3084	OTTHUMG00000003069.5
chr1	1352689	1361777	-	ENSG00000162576.17	ENSG00000162576.17	MXRA8	HGNC:7542	OTTHUMG00000002973.5
chr1	1373730	1375207	-	ENSG00000175756.14	ENSG00000175756.14	AURKAIP1	HGNC:24114	OTTHUMG00000001413.3
chr1	1385711	1399335	-	ENSG00000221978.13	ENSG00000221978.13	CCNL2	HGNC:20570	OTTHUMG00000002917.7
chr1	1401909	1407293	-	ENSG00000242485.6	ENSG00000242485.6	MRPL20	HGNC:14478	OTTHUMG00000002916.4
chr1	1418420	1421769	-	ENSG00000235098.9	ENSG00000235098.9	ANKRD65	HGNC:42950	OTTHUMG00000002911.4
